rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,k-beauty,K-뷰티,K-Beauty,red,0,5,32,리들샷·PDRN 등 성분 중심 K-뷰티가 시장 견인. 신제품 사이클이 빨라 경쟁이 치열함.
2,k-pop-merch,K-팝 굿즈,K-Pop Merch,red,0,5,24,신인 그룹 컴백 시즌마다 트래픽 폭발. 라이트스틱·앨범·포카가 핵심 카테고리.
3,character-goods,캐릭터 굿즈,Character Goods,red,0,4,37,산리오 콜라보·자체 IP 강세. 키링·인형·문구 라인업이 안정적으로 팔림.
4,k-fashion,K-패션,K-Fashion,red,0,5,24,스트릿·Y2K 무드. 셀럽 착장 컨버전 빠름. 사이즈 이슈는 항상 변수.
5,skincare-tools,K-스킨케어 툴,Skincare Tools,red,0,4,36,마이크로커런트·LED 디바이스가 주력. 단가 높고 리뷰가 핵심.
6,k-stationery,K-문구,K-Stationery,blue,0,2,45,아이코닉·모트모트류 데일리 데코 스티커가 폭발. 영문 SEO 신선함.
7,korean-snacks,K-스낵,Korean Snacks,blue,0,3,28,허니버터·불닭 라인업 + 컬트 신상품. 유통기한·관세가 함정.
8,herbal-supplements,한방 영양제,Herbal Supplements,blue,0,2,47,홍삼·콜라겐 외 새 카테고리 진입 중. 영문 광고문안이 곧 마진.
9,korean-kitchenware,K-키친웨어,Korean Kitchenware,blue,0,3,30,에어프라이어·돌솥·뚝배기. 무게/부피 이슈로 ePacket 최적화 중요.
10,tea-ceremony,전통 다도,Tea & Ceremony,blue,0,1,53,프리미엄 다완·다기 셋. 유럽 마니아층 고정 수요.
11,k-hair-care,헤어케어,K-Hair Care,blue,0,3,37,두피 토닉·트리트먼트 앰플 강세. 헤드스파 컨셉 셀러 다수 진입.
12,k-drama-goods,K-드라마 굿즈,K-Drama Goods,blue,0,3,30,신작 방영 시 단기 스파이크. 장기 SKU 운영은 어려움.
13,adult-toys,키덜트 토이,Adult Toys,blue,0,2,40,프라모델·피규어·블라인드박스. 글로벌 컬렉터 유입 가속.
14,korean-home-decor,K-홈데코,Korean Home Decor,blue,0,4,22,쿠시아·캔들·디퓨저. 단가 낮고 배송비 비중 큼.
15,baby-goods,유아용품,Baby Goods,blue,0,2,36,이유식기·턱받이·아기띠. 안전 인증 마케팅 중요.
16,traditional-craft,전통 공예,Traditional Craft,blue,0,1,57,자개·한지·도자기. 단가 높고 마진 좋지만 회전 느림.
17,tech-accessories,테크 액세서리,Tech Accessories,blue,0,4,22,케이블·그립톡·스탠드. 단가 경쟁 매우 치열.
18,k-fancy-apparel,K-펜시 의류,K-Fancy Apparel,blue,0,3,37,지브라급 코어 의류. 사이즈 표기 표준화가 컨버전 차이.
19,premium-tea,프리미엄 차,Premium Tea,blue,0,2,44,보이차·녹차 프리미엄. 박스 디자인이 곧 단가.
20,modern-hanbok,한복 모던,Modern Hanbok,blue,0,1,56,생활한복·모던 한복. 마니아 + 코스플레이 채널 두 갈래.
