rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,kpop-goods,K-POP 굿즈/포토카드,K-POP Goods & Photocards,red,0,5,35,"BTS, 스트레이키즈 등 주요 아이돌 그룹의 컴백과 월드투어 관련 굿즈 수요가 폭발적으로 증가하며 1위를 유지하고 있습니다. 특히 팝업스토어, 팬미팅 등 한국에서만 구할 수 있는 한정판 상품의 인기가 높습니다."
2,auto-parts,자동차 부품,Auto Parts,red,1,4,45,"현대, 기아차의 글로벌 판매량 증가에 따라 순정 부품(Genuine OEM) 수요가 꾸준히 강세를 보이고 있습니다. 특히 미국 내 한국 차량 소유주 증가가 주요 원인으로 분석됩니다."
3,k-beauty-skincare,K-뷰티 (스킨케어),K-Beauty Skincare,red,-1,5,60,"K-뷰티는 eBay의 강력한 수출 카테고리로, 특히 스킨케어 제품이 강세입니다. 일본 시장에서 아누아, VT코스메틱 등 한국 브랜드가 높은 판매고를 올리고 있으며, 자외선 차단제와 시트 마스크 수요가 꾸준합니다."
4,trading-cards,수집용 트레이딩 카드,Trading Cards,red,0,4,40,"포켓몬 카드가 압도적인 인기를 끌고 있으며, 특히 한국 한정판 프로모션 카드는 높은 가격에 거래됩니다. K팝 아이돌 포토카드와 함께 수집품 시장의 성장을 견인하고 있습니다."
5,k-fashion,K-패션/리셀,K-Fashion & Resell,red,2,4,50,"젠틀몬스터, 마르지셔우드 등 국내 컨템포러리 브랜드가 인기를 끌고 있습니다. 전 세계적으로 중고 패션(리셀) 시장이 성장함에 따라 한국 브랜드의 가치도 동반 상승하고 있습니다."
6,k-beauty-makeup,K-뷰티 (색조),K-Beauty Makeup,blue,-1,4,65,"일본 시장에서 롬앤, 클리오 등 한국 색조 브랜드가 립, 아이섀도우 카테고리 상위권을 장악하고 있습니다. 특히 지속력과 혁신적인 제형을 갖춘 제품들이 인기입니다."
7,computer-parts,컴퓨터 부품/주변기기,Computer Parts & Peripherals,blue,6,3,30,"고성능 메모리, SSD 등 한국산 컴퓨터 부품은 꾸준한 수요를 보입니다. 특히 게이밍 관련 주변기기(키보드, 마우스)의 인기가 높습니다."
8,smartphone-acc,스마트폰 액세서리,Smartphone Accessories,blue,7,5,55,"스마트폰 액세서리는 eBay에서 가장 많이 팔리는 품목 중 하나입니다. 케이스, 보호필름 등 저가 상품은 꾸준한 판매량을 보이며, 한국의 디자인과 아이디어를 담은 제품들이 주목받고 있습니다."
9,inner-beauty,이너뷰티/건강기능식품,Inner Beauty & Supplements,blue,2,3,68,"일본 시장에서 K-이너뷰티 제품 판매가 급증하고 있습니다. 콜라겐, 히알루론산 등 피부 미용 관련 건강기능식품의 재구매율이 높게 나타납니다."
10,k-beauty-devices,K-뷰티 디바이스,K-Beauty Devices,blue,0,3,50,가정용 뷰티 디바이스가 차세대 성장 동력으로 주목받고 있습니다. 특히 일본에서 한국산 제품의 기술력과 편의성을 높게 평가하며 판매량이 300% 이상 급증했습니다.
11,figures-collectibles,피규어/수집용 완구,Figures & Collectible Toys,blue,3,4,45,"K팝, 웹툰 IP 기반의 피규어와 더불어 티니핑, 핑크퐁 등 한국 캐릭터 상품이 꾸준히 판매되고 있습니다. '키덜트' 문화 확산으로 수집용 완구 시장은 계속 성장할 전망입니다."
12,character-goods,캐릭터 굿즈,Character Goods,blue,-4,4,40,"카카오프렌즈, 라인프렌즈 등 인기 캐릭터 굿즈는 안정적인 수요를 보입니다. 특히 K-문구류와 결합된 상품들이 인기입니다."
